job_title,salary_year_avg,department,experience_level,location
HR Specialist,76045,Operations,Senior,Lagos
Customer Support Rep,65504,Finance,Mid,Ibadan
HR Specialist,61118,Operations,Mid,Port Harcourt
Customer Support Rep,48444,Operations,Mid,Ibadan
HR Specialist,78419,HR,Mid,Ibadan
Customer Support Rep,94526,IT,Junior,Lagos
HR Specialist,84729,Finance,Mid,Port Harcourt
Software Engineer,69201,Operations,Junior,Lagos
Software Engineer,43246,HR,Senior,Lagos
Accountant,42805,Sales,Senior,Ibadan
Marketing Manager,41174,HR,Mid,Abuja
Project Manager,44543,Operations,Senior,Port Harcourt
Project Manager,68736,Marketing,Junior,Port Harcourt
Accountant,81534,Marketing,Mid,Lagos
Data Scientist,97474,IT,Junior,Lagos
Accountant,73172,Finance,Mid,Port Harcourt
Data Analyst,50202,Sales,Mid,Abuja
Data Analyst,70962,IT,Mid,Lagos
Sales Executive,58141,Marketing,Junior,Port Harcourt
Accountant,70582,Operations,Junior,Abuja
Project Manager,78818,Sales,Junior,Abuja
Data Scientist,93743,IT,Mid,Port Harcourt
Accountant,96850,Finance,Senior,Ibadan
Customer Support Rep,43208,IT,Mid,Abuja
Data Analyst,53020,HR,Junior,Abuja
Software Engineer,78412,Sales,Senior,Lagos
Data Analyst,47020,Operations,Mid,Abuja
Data Analyst,65051,Operations,Junior,Ibadan
Sales Executive,76730,Operations,Junior,Ibadan
Business Analyst,89959,IT,Mid,Lagos
